title,artist,winner,year
Truth Hurts,Lizzo,0,2019
Everything I Wanted,Billie Eilish,1,2020
Circles,Post Malone,0,2020
Say So,Doja Cat,0,2020
Rockstar,DaBaby Featuring Roddy Ricch,0,2020
Savage,Megan Thee Stallion Featuring Beyoncé,0,2020
Don't Start Now,Dua Lipa,0,2020
Colors,Black Pumas,0,2020
Black Parade,Beyoncé,0,2020
Leave The Door Open,Silk Sonic,1,2021
Kiss Me More,Doja Cat Featuring SZA,0,2021
Montero (Call Me By Your Name),Lil Nas X,0,2021
drivers license,Olivia Rodrigo,0,2021
Happier Than Ever,Billie Eilish,0,2021
Right On Time,Brandi Carlile,0,2021
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,0,2021
I Get A Kick Out Of You,Tony Bennett & Lady Gaga,0,2021
Freedom,Jon Batiste,0,2021
I Still Have Faith In You,ABBA,0,2021
About Damn Time,Lizzo,1,2022
As It Was,Harry Styles,0,2022
Bad Habit,Steve Lacy,0,2022
BREAK MY SOUL,Beyoncé,0,2022
The Heart Part 5,Kendrick Lamar,0,2022
Woman,Doja Cat,0,2022
You And Me On The Rock,Brandi Carlile Featuring Lucius,0,2022
Good Morning Gorgeous,Mary J. Blige,0,2022
Easy On Me,Adele,0,2022
Don't Shut Me Down,ABBA,0,2022
